date,time,venue,rest days,result,gf/gp,ga/gp,net goals,opponent,shots for,shots against,shot diff,pp opp/gp,ts/gp,pp%,pk%,fow%,team,goalie,sv%
2024-10-15,20:00,Home,1,L,2,2,0,San Jose Sharks,38,27,11,4,3,0,100.0,52.6,Dallas Stars,Jake Oettinger,0.926
2024-10-15,20:00,Away,2,L,2,2,0,Dallas Stars,27,38,-11,3,4,0,100.0,47.4,San Jose Sharks,Mackenzie Blackwood,0.947
2024-10-15,19:00,Home,2,W,3,4,-1,Florida Panthers,38,22,16,2,3,0,100.0,57.4,Columbus Blue Jackets,Elvis Merzlikins,0.818
2024-10-15,19:30,Away,1,W,4,1,3,St. Louis Blues,27,28,-1,5,2,40,100.0,44.7,Minnesota Wild,Filip Gustavsson,0.964
2024-10-15,20:00,Away,1,W,7,3,4,Nashville Predators,35,33,2,2,2,0,100.0,41.3,Seattle Kraken,Joey Daccord,0.909
2024-10-15,22:00,Home,1,W,4,3,1,Philadelphia Flyers,31,30,1,4,7,0,71.4,59.1,Edmonton Oilers,Stuart Skinner,0.9
2024-10-15,21:00,Home,1,W,3,1,2,Chicago Blackhawks,27,32,-5,3,2,33.3,100.0,48.5,Calgary Flames,Dustin Wolf,0.969
2024-10-16,21:30,Away,1,W,5,3,2,Colorado Avalanche,26,25,1,4,3,50,0.0,61.3,Boston Bruins,Joonas Korpisalo,0.88
2024-10-16,19:30,Home,3,L,6,2,4,Los Angeles Kings,26,34,-8,4,4,50,100.0,55.0,Toronto Maple Leafs,Anthony Stolarz,0.941
2024-10-16,19:00,Away,3,W,5,6,-1,Pittsburgh Penguins,33,43,-10,1,5,0,60.0,37.9,Buffalo Sabres,Ukko-Pekka Luukkonen,0.86
2024-10-16,19:00,Home,1,L,6,5,1,Buffalo Sabres,43,33,10,5,1,40,100.0,62.1,Pittsburgh Penguins,Tristan Jarry,0.4
2024-10-16,19:00,Home,1,L,6,5,1,Buffalo Sabres,43,33,10,5,1,40,100.0,62.1,Pittsburgh Penguins,Joel Blomqvist,0.929
2024-10-16,21:30,Home,1,L,3,5,-2,Boston Bruins,25,26,-1,3,4,100,50.0,38.7,Colorado Avalanche,Alexandar Georgiev,0.84
2024-10-16,22:00,Away,1,W,4,5,-1,Anaheim Ducks,30,34,-4,2,5,50,100.0,61.8,Utah Hockey Club,Connor Ingram,0.853
2024-10-16,22:00,Home,2,L,5,4,1,Utah Hockey Club,34,30,4,5,2,0,50.0,38.2,Anaheim Ducks,Lukas Dostal,0.867
2024-10-16,19:30,Away,1,W,2,6,-4,Toronto Maple Leafs,34,26,8,4,4,0,50.0,45.0,Los Angeles Kings,Pheonix Copley,0.833
2024-10-16,19:30,Away,1,W,2,6,-4,Toronto Maple Leafs,34,26,8,4,4,0,50.0,45.0,Los Angeles Kings,David Rittich,0.714
2024-10-17,20:30,Home,1,L,4,2,2,San Jose Sharks,27,22,5,7,3,28.6,100.0,44.1,Chicago Blackhawks,Petr Mrazek,0.909
2024-10-17,19:00,Away,1,L,3,1,2,Ottawa Senators,35,31,4,2,3,0,66.7,47.9,New Jersey Devils,Jacob Markstrom,0.968
2024-10-17,20:00,Away,2,L,0,1,-1,St. Louis Blues,34,30,4,2,1,0,100.0,53.3,New York Islanders,Ilya Sorokin,0.967
2024-10-17,19:30,Away,2,L,5,2,3,Detroit Red Wings,34,31,3,4,5,75,80.0,55.4,New York Rangers,Jonathan Quick,0.935
2024-10-17,19:00,Away,0,W,4,6,-2,Columbus Blue Jackets,24,25,-1,2,3,0,66.7,50.9,Buffalo Sabres,Devon Levi,0.76
2024-10-17,19:00,Home,2,W,1,4,-3,Los Angeles Kings,27,32,-5,5,2,0,100.0,59.3,Montreal Canadiens,Sam Montembeault,0.903
2024-10-17,19:00,Home,2,W,1,3,-2,New Jersey Devils,31,35,-4,3,2,33.3,100.0,52.1,Ottawa Senators,Anton Forsberg,0.914
2024-10-17,19:00,Home,1,L,2,3,-1,Vancouver Canucks,28,33,-5,1,2,100,100.0,50.8,Florida Panthers,Sergei Bobrovsky,0.909
2024-10-17,19:00,Home,1,L,4,3,1,Vegas Golden Knights,25,25,0,2,3,0,66.7,43.5,Tampa Bay Lightning,Andrei Vasilevskiy,0.88
2024-10-17,19:00,Home,1,W,3,2,1,Dallas Stars,26,24,2,5,4,0,100.0,47.5,Washington Capitals,Charlie Lindgren,0.917
2024-10-17,22:00,Away,1,W,4,6,-2,Seattle Kraken,25,29,-4,4,5,25,80.0,54.4,Philadelphia Flyers,Ivan Fedotov,0.792
2024-10-17,22:00,Away,1,W,4,6,-2,Seattle Kraken,25,29,-4,4,5,25,80.0,54.4,Philadelphia Flyers,Samuel Ersson,0.8
2024-10-17,19:30,Home,2,W,2,5,-3,New York Rangers,31,34,-3,5,4,20,25.0,44.6,Detroit Red Wings,Cam Talbot,0.737
2024-10-17,19:30,Home,2,W,2,5,-3,New York Rangers,31,34,-3,5,4,20,25.0,44.6,Detroit Red Wings,Alex Lyon,1.0
